,,AMB/92,,,
29020263,Teste de Broncoprovocacao,,150,0,0
29020271,Teste Cardiopulmonar de Exercicio 1)Estagio,,150,0,0
29020280,Teste Cardiopulmonar de Exercicio 2)Estagio,,500,0,0
30010039,Quimioterapia Associada a Cirurgia,,180,0,0
30010047,Quimioterapia Regional IntraCavitaria ate 7dias,,250,0,0
30010055,Quimio Regional IntraCavitaria Subsequente,,250,0,0
30010063,Quimioterapia Intra Arterial Inicial P/ 7 dias,,300,0,0
30010071,Quimio Intra-Arterial Subsequente (7 dias),,300,0,0
30010080,Quimioterapia Sistemica Com Isolamento Protetor,,300,0,0
30010098,Quimioterapia Sistemica Com Isolamento Protetor,,300,0,0
30010101,Quimioterapia Intra-Tecal (2 Inj. Intra-Tecais),,270,0,0
30010110,Quimioterapia Intra-Tecal (1 Inj. Intra-Tecal),,135,0,0
30010128,Quimioterapia Sistemica Inicial,,250,0,0
30010136,Quimioterapia Sistemica(por dia ate 7),,40,0,0
30020034,Quimioterapia Ambulatorial (primeiro dia),,180,0,0
30020042,Quimioterapia Ambulatorial (por dia ate 7),,30,0,0
31010016,Angiografia Radioisotopica,,360,0,0
31010024,Cintilografia do Miocardio-Necrose 3 Projecoes,,520,0,0
31010040,Cintilografia do Miocardio Perfusao - Esforco,,1590,0,0
31010059,Cintilografia Sincronizada de Camaras Cardiacas,,580,0,0
31010067,Cintilografia Sincronizada de Camaras Cardiacas,,830,0,0
31010075,Cintilografia de Fluxo Sanguineo de Extremidade,,220,0,0
31010083,Cintilografia em Hemorragias Ativas,,320,0,0
31010091,Cintilografia em Hemorragias Nao Ativas,,670,0,0
31010105,Quantificacao do Shunt da Direita Para Esquerda,,350,0,0
31010113,Quantificacao Shunt Periferico,,470,0,0
31010121,Venografia Radioisotopica (Minimo 3 Imagens),,460,0,0
31020011,Medicina Nuclear Digestiva - Absorcao Gorduras,,295,0,0
31020020,Cintilografia Glandulas Salivares,,360,0,0
31020038,Cintilografia de Figado e Baco,,420,0,0
31020046,Cintilografia de Figado e Vias Biliares,,680,0,0
31020054,Cintilografia p/ Diverticulo Meckel (4 Imagens),,550,0,0
31020062,Cintilografia Digestiva Esvaziamento Esofagico,,570,0,0
31020070,Cintilografia Esvaziamento Esofagico SemiSolido,,570,0,0
31020089,Esvaziamento Gastrico - Cintilografia,,570,0,0
31020097,Refluxo Gastro-Esofagico - Medicina Nuclear,,570,0,0
31020100,Cintilografia de Fluxo Sanguineo Hepatico,,365,0,0
31020119,Perdas Proteicas - Medicina Nuclear,,245,0,0
31020127,Sangramento Digestivo-Det. Com Hemacias 51 Cr,,245,0,0
31030017,Cintolografia Tiroide Com Ou Sem Captacao 131I,,350,0,0
31030025,Cintilografia Tiroide Com Ou Sem Capitacao 99M,,350,0,0
31030033,Pesquisa Matastases Corpo Total -Med. Nuclear,,720,0,0
31030041,Teste Estimulo da Tiroide Com TSH -Med. Nuclear,,320,0,0
31030050,Teste Supressao da Tiroide Com T3 -Med. Nuclear,,275,0,0
31030068,Teste de Perclorato - Medicina Nuclear,,275,0,0
31030076,Cintilografia de Paratireoide,,400,0,0
31040012,Cintilografia Renal (Quantitativa/Qualitativa),,480,0,0
31040020,Cistografia Direta - Medicina Nuclear,,450,0,0
31040047,Cintolografia Testicular (Escrotal),,400,0,0
31040055,Determinacao Fluxo Plasmatico Renal-Med.Nuclear,,140,0,0
31040063,Determinacao Filtracao Glomerular - Med.Nuclear,,180,0,0
31040071,Estudo Renal Dinamico - Medicina Nuclear,,460,0,0
31040080,Estudo Renal Dinamico/Diuretico - Med. Nuclear,,580,0,0
31040098,Renograma - Medicina Nuclear,,325,0,0
31050018,Absorcao Vitamina B12 (Teste Schilling),,1100,0,0
31050026,Cintilografia Sistema Reticuloendotelial,,390,0,0
31050034,Determinacao da Volemia - Medicina Nuclear,,190,0,0
31050042,Determinacao do Volume Plasmatico - Med.Nuclear,,190,0,0
31050050,Determinacao Volume Eritrocitario - Med.Nuclear,,190,0,0
31050069,Determinacao Sobrevida de Hemacias- Med.Nuclear,,190,0,0
31050077,Demonstracao do Sequestro de Hemacias Pelo Baco,,190,0,0
31050085,Teste Cruzado de Grupos Sanguineos -Med.Nuclear,,180,0,0
31060013,Cintolografia de Articulacoes e/ou Estremidades,,440,0,0
31060021,Cintilografia Ossea (Corpo Total),,450,0,0
31060030,Fluxo Sanguineo Osseo - Medicina Nuclear,,325,0,0
31070019,Cintilografia Cerebral Com/Sem Fluxo Sanguineo,,300,0,0
31070027,Cisternocintilografia,,930,0,0
31070035,Estudo do Transito Liquorico (Med.Nuclear),,690,0,0
31070043,Estudo de Fistulas Liquoricas -Medicina Nuclear,,440,0,0
31070051,Mielocintilografia,,440,0,0
31070060,Ventriculocintilografia (Minimo 8 Imagens),,440,0,0
31070078,Fluxo Sanguineo Cerebral - Medicina Nuclear,,220,0,0
31070086,Perfusao Cerebral (Med.Nuclear),,1150,0,0
31080014,Cintilografia Com Galio 67 (Corpo Total),,860,0,0
31080022,Linfocintilografia,,540,0,0
31080030,Qualificacao da Captacao Pulmonar do Galio-67,,600,0,0
31090010,Aspiracao Pulmonar - Medicina Nuclear,,540,0,0
31090028,Cintilografia Pulmonar (Inalacao),,340,0,0
31090036,Cintilografia Pulmonar (Perfusao),,400,0,0
31100015,Tratamento Hipertiroidismo (Graves)-Med.Nuclear,,200,0,0
31100023,Tratamento Hipertiroidismo (Plummer)-M.Nuclear,,200,0,0
31100031,Tratamento do CA de Tiroide - Medicina Nuclear,,750,0,0
31100040,Tratamento da Policitemia Vera-Medicina Nuclear,,270,0,0
31100058,Tratamento da Metastase Ossea (Med.Nuclear),,750,0,0
31110010,Dacriocistografia - Medicina Nuclear,,230,0,0
31110029,Estudo Shunt de Le Veen - Medicina Nuclear,,300,0,0
31110037,Imunocintilografia (Anticorpos Monoclonais),,1030,0,0
31110045,Cintilografia Com MIBG-Metaiodobenzilguanidina,,770,0,0
31110053,Densiometria Ossea Duo Energetica(Segmento),,300,0,0
31110061,Densitometria Duo Energetica(Corpo Inteiro),,600,0,0
31120016,"Adrenocorticotrofico, Dosagem do Hormonio ACTH",,210,0,0
31120024,Dosagem de Aldosterona,,125,0,0
31120032,Dosagem de Alfa-Fetoproteina (AFP),,125,0,0
31120040,Dosagem de Androstenediona,,160,0,0
31120059,Dosagem do Antigeno Australia (Hbs Ag),,70,0,0
31120067,Dosagem do Antigeno Carcinoembriogenico (CEA),,190,0,0
31120075,Dosagem de Calcitonina,,225,0,0
31120083,Dosagem de Cortisol,,75,0,0
31120091,"Crescimento, Dosagem do Hormonio do (HGH)",,90,0,0
31120105,Dosagem da Dehidroepiandrosterona (DHEA),,105,0,0
31120113,Dosagem de Dehidrotesterona (DHT),,160,0,0
31120121,Diagnostico Precoce Gravidez (EPD),,70,0,0
31120156,Dosagem de Estradiol,,100,0,0
31120164,Dosagem de Estriol,,110,0,0
31120172,Dosagem de Estrona,,100,0,0
31120180,Dosagem de Ferritina,,125,0,0
31120199,"Foliculo Estimulante, Dosagem do Hormonio (FSH)",,65,0,0
31120202,Dosagem da Gastrina,,100,0,0
31120210,Globulina Transportadora da Tiroxina (TBG),,180,0,0
31120229,"Gonadotrofico Corionico, Hormonio (HCG)",,65,0,0
31120237,Imonoglobulina (Ige),,70,0,0
31120245,Indice Tiroxina Livre (ITL),,85,0,0
31120253,Dosagem de Insulina,,55,0,0
31120296,Dosagem do Peptideo C,,125,0,0
31120300,Dosagem de Progesterona,,105,0,0
31120318,Dosagem de 17-Alfa-Hidroprogesterona,,165,0,0
31120326,Dosagem de Prolactina,,85,0,0
31120334,Dosagem de Renina,,110,0,0
31120342,Sulfato de Dehidroepiandrosterona (S-DHEA),,110,0,0
31120350,Dosagem de Testosterona Livre,,150,0,0
31120369,Dosagem de Testosterona Total,,105,0,0
31120377,"Tireoestimulante, Dosagem do Hormonio (TSH)",,85,0,0
31120385,Dosagem de Tiroxina (T4),,65,0,0
31120393,Dosagem de Triiodotironina (T3),,65,0,0
31120407,Dosagem da Retencao de T3,,55,0,0
31120415,Dosagem do T3 Reverso,,195,0,0
31120423,Dosagem da Vitamina B 12,,85,0,0
31120431,Dosagem do T4 Livre,,85,0,0
31120440,Dosagem de Tireoglobulina,,140,0,0
31120458,Dosagem do PTH,,200,0,0
31120466,Anticorpos Anti-Tireoide (Microssomal),,105,0,0
31120474,Anticorpos Anti- Tireoide (Tireoglobulina),,105,0,0
31120482,Dosagem de Drogas,,150,0,0
31120490,Marcadores Tumorais,,250,0,0
32010010,Rx Cranio Postero-Anterior e Lateral (2 Chapas),,70,0,0
32010028,Rx Cranio P.A.-Lat.Bretton (3 Incidencias),,71,0,0
32010036,Rx Cranio P.A.-Lat-Obl/Bretton-Hirtz (4 Chapas),,75,0,0
32010044,Rx Mastoides/Rochedos-Bilateral (8 Incidencias),,99,0,0
32010052,Planigrafia de Mastoides ou Rochedos (linear),,110,0,0
32010060,Rx Orbitas P.A.-Lat-Obl.-Hirtz (4 Incidencias),,75,0,0
32010079,Rx Seios Face F.N.-M.N.-Lat. (3 Incidencias),,71,0,0
32010087,Rx Seios Face F.N.-M.N.-Lat-Hirtz (4 Chapas),,75,0,0
32010095,Rx Sela Turca P.A.-Lat-Bretton (3 Chapas),,71,0,0
32010109,Rx Maxilar Inferior P.A.-Obliquas (3 Chapas),,71,0,0
32010117,Rx Ossos Face M.N.-F.N.-Lat.-Hirtz (4 Chapas),,75,0,0
32010125,Rx Arcada Zigomatica-Malar-AP-Obl. (3 Chapas),,71,0,0
32010133,Rx Artic. Temporo-Mandibular Bilateral (8 Inc.),,75,0,0
32010141,Rx Adenoides-Lateral (1 Incidencia),,68,0,0
32010150,Rx Cavum Lat.-Hirtz (2 Incidencias),,70,0,0
32010168,Rx Condutos Auditivos Internos (4 Incidencias),,75,0,0
32010176,Rx Panoramico de Mandibula - Ortopantomografia,,71,0,0
32010184,Teleperfil Cefalostato-01 Tracado - Rx,,71,0,0
32010192,Teleperfil Cefalostato-02 Tracados - Rx,,73,0,0
32010206,Rx de Arcada Dentaria (Por Arcada),,60,0,0
32010214,Radiografia Peri-Apical (1 Incidencia),,13,0,0
32010222,Radiologia Oclusal (1 Incidencia),,20,0,0
32010230,Planigrafia Craniana Linear - Dois Planos,,169,0,0
32010249,Planigrafia Craniana Multidirecional,,244,0,0
32010257,Planigrafia da Face - Dois Planos,,140,0,0
32010265,Planigrafia da Sela Turca - Dois Planos,,140,0,0
32020015,Rx de Coluna Cervical AP-Lat-TO/Flexao (3 Inc.),,70,0,0
32020023,Rx de Coluna Cervical AP-Lat-TO-Obliq. (5 Inc.),,75,0,0
32020031,Rx Coluna Cervical Funcional/Dinamica(7 Chapas),,83,0,0
32020040,Rx de Coluna Dorsal AP-Lateral (2 Incidencias),,70,0,0
32020066,Rx de Coluna Lombo-Sacra (3 incidencias),,73,0,0
32020074,Rx Coluna Lombo-Sacra C/Obliquas (5 Chapas),,79,0,0
32020082,Rx Coluna Lombo-Sacra Dinamica (7 Incidencias),,87,0,0
32020090,Rx de Sacro-Coccix (4 Incidencias),,73,0,0
32020104,Rx Coluna P/ Escoliose P.A.-Lateral (2 Chapas),,75,0,0
32020112,Rx de Coluna P/ Escoliose Dinamica (4 Chapas),,87,0,0
32020120,Rx Coluna ou Escoliose Panoramica (2 Chapas),,118,0,0
32020139,Planigrafia Coluna Vertebral-2 Planos(12 Chapas),,270,0,0
32030010,Rx de Esterno (3 Incidencias),,70,0,0
32030029,Rx de Articulacao Esterno-Clavicular (3 Chapas),,70,0,0
32030037,Rx de Costelas-Por Hemitorax (2 Incidencias),,70,0,0
32030045,Rx de Clavicula (2 Incidencias),,70,0,0
32030053,Rx de Omoplata (3 incidencias),,70,0,0
32030061,Rx de Articulacao Acromio-Clavicular (2 Chapas),,70,0,0
32030088,Rx de Braco (2 Incidencias),,70,0,0
32030096,Rx de Cotovelo (2 Incidencias),,59,0,0
32030100,Rx de Antebraco (2 Incidencias),,59,0,0
32030118,Rx de Punho A.P.-Lat.-Obliquas (4 Incidencias),,59,0,0
32030126,Rx de Mao Ou Quirodactilos (2 Incidencias),,59,0,0
32030134,Rx de Maos e Punho P/Idade Ossea (1 Incidencia),,59,0,0
32040016,Rx de Bacia (1 Incidencia),,61,0,0
32040024,Radiopelvimetria Obstetrica (2 Incidencias),,72,0,0
32040032,Rx de Articulacao Sacro-Iliacas (3 Incidencias),,70,0,0
32040040,Rx de Articulacao Coxo-Femural (2 Incidencias),,70,0,0
32040059,Rx de Coxa (2 Incidencias),,70,0,0
32040067,Rx de Joelho A.P.-Lateral (2 Incidencias),,60,0,0
32040075,Rx Joelho / Rotula AP-Lat-Axial (3 Incidencias),,64,0,0
32040083,Rx de Perna (2 Incidencias),,60,0,0
32040091,Rx de Articulacao Tibio-Tarsica (2 Incidencias),,59,0,0
32040105,Rx de Pe Ou Pododactilos (2 Incidencias),,59,0,0
32040113,Rx de Calcaneo (2 Incidencias),,59,0,0
32040121,Escanometria (3 Incidencias),,70,0,0
32040148,RX de Joelho AP-Lat-Obliquas+3 Axiais,,115,0,0
32040156,RX Panoramico de Membros Inferiores,,102,0,0
32050011,Abreugrafia 100 Mm (1 Incidencia),,15,0,0
32050020,Abreugrafia 35 Ou 70 Mm (1 Incidencia),,15,0,0
32050038,Rx de Torax Postero-Anterior (1 Incidencia),,46,0,0
32050046,Rx de Torax Apico-Lordotica (1 Incidencia),,46,0,0
32050054,Rx de Torax Postero-Anterior+Lateral (2 Chapas),,51,0,0
32050062,Rx de Torax P.A.(Ins e Ext)-Lateral (2 Chapas),,55,0,0
32050070,Rx de Torax P.A.-Lat-Obliquas (+ que 2 Chapas),,59,0,0
32050089,Rx de Coracao e Vasos da Base PA-Lat (2 Chapas),,51,0,0
32050097,Rx de Coracao e Vasos da Base P.A.-Lat-Obliquas,,59,0,0
32050100,Planigrafia Segmentar Torax P/ Plano(9 Chapas),,140,0,0
32050119,Planigrafia-Hemitorax-Mediastino-(8 Chapas),,140,0,0
32050127,Planigrafia Bilateral do Torax( 9 Incidencias),,140,0,0
32050135,Rx de Laringe (3 Incidencias),,70,0,0
32050143,Rx de Hipofaringe (4 Incidencias),,120,0,0
32050151,Rx de Mediastino (4 Incidencias),,75,0,0
32050160,Planigrafia de Laringe (Rx) (8 Incidencias),,128,0,0
32060017,Colangiografia Pre-Operatoria (4 Incidencias),,125,0,0
32060025,Colangiografia Pos-Operatoria (4 Incidencias),,125,0,0
32060033,Rx Colangiografia Venosa (8 Incidencias),,200,0,0
32060041,Colangiografia Venosa C/Planigrafias(10 Chapas),,224,0,0
32060050,Rx Colecistograma Oral (9 Incidencias),,102,0,0
32060068,Rx de Esofago (8 Incidencias),,102,0,0
32060076,Rx de Estomago e Duodeno (20 Incidencias),,154,0,0
32060084,Rx Esofago-Hiato-Estomago-Duodeno (24 Chapas),,171,0,0
32060092,Rx Transito e Morfologia do Delgado (6 Chapas),,158,0,0
32060106,Rx Clister Opaco (Duplo Contraste) (6 Chapas),,175,0,0
32060114,Duodenografia Hipotonica (Rx) (9 Incidencias),,171,0,0
32070012,Urografia Venosa C/Bexiga Pre/Pos Miccao(7 Inc),,182,0,0
32070020,Pielografia Ascendente (Rx) (4 Incidencias),,134,0,0
32070039,Uretrocistografia (Rx) (6 Incidencias),,163,0,0
32070047,Urografia Venosa Minutada (10 Incidencias),,184,0,0
32070055,Urografia Venosa C/Nefrotomografias (11 Chapas),,228,0,0
32070063,Planigrafia Renal S/Constrate (6 Incidencias),,134,0,0
32070071,Rx de Utero Gravido (2 Incidencias),,89,0,0
32080018,Rx de Abdomen Simples A.P. (1 Incidencia),,68,0,0
32080026,Rx de Abdomen A.P.-Lat./Localizada (2 Chapas),,70,0,0
32080034,Rx de Abdomen Agudo (4 Incidencias),,83,0,0
32080042,Planigrafia de Osso ou Subsidiaria (5 Planos),,125,0,0
32080050,Mamografia (Rx de Mama) (6 Incidencias),,163,0,0
32080069,Rx Localizacao Tridimensional Corpo Estranho,,81,0,0
32080077,Xeromamografia (6 Incidencias),,175,0,0
32080085,Densitometria Ossea,,310,0,0
32080093,Rx do Esqueleto (19 Incidencias),,640,0,0
32090013,Broncografia Unilateral (7 Incidencias),,194,0,0
32090030,Laringografia (8 Incidencias),,167,0,0
32090056,Ductografia (Por Mama 4 Incidencias),,156,0,0
32090064,Sialografia (Por Glandula 6 Incidencias),,163,0,0
32090072,Histerosalpingografia (6 Incidencias),,194,0,0
32090080,Pneumopelvigrafia (5 Incidencias),,212,0,0
32090102,Artrografia (16 Incidencias),,192,0,0
32090110,Flebografia Intra-Ossea (3 Incidencias),,223,0,0
32090129,Fistulografia (4 Incidencias),,126,0,0
32090137,Colangiografia Transcutanea (6 Incidencias),,270,0,0
32090145,Colangiopancreatografia Retrograda (6 Chapas),,190,0,0
32090153,Dacriocistografia (5 Incidencias),,154,0,0
32100019,Angiografia Carotidia Unilateral (12 Chapas),,502,0,0
32100027,Angiografia Carotidia Bilateral (24 Chapas),,744,0,0
32100035,Angiografia Carotidia Unilateral(Via Femural),,981,0,0
32100043,Angiografia Carotidia Bilateral(Via Femural),,"1,137",0,0
32100051,Arteriografia Vertebral Via Femural (16 Chapas),,981,0,0
32100060,Rx Arco Aortico e Vasos do Pescoco (10 Chapas),,981,0,0
32100078,Angiografia Medular (10 Incidencias),,"1,212",0,0
32100086,Pneumoencefalo-Ventriculografia (10 Chapas),,502,0,0
32100094,Mielografia Segmentar-1 Segmento (6 Chapas),,458,0,0
32100108,Mielografia Segmentar-2 Segmentos (12 Chapas),,576,0,0
32100116,Mielografia Segmentar-3 Segmentos (18 Chapas),,677,0,0
32100124,Pneumomielografia Segmentar-1 Segm. (6 Chapas),,458,0,0
32100132,Pneumomielografia Segmentar-2 Segm. (12 Chapas),,576,0,0
32100140,Pneumomielografia Segmentar-3 Segm. (18 Chapas),,677,0,0
32100159,Angiografia Seletiva Carotida Externa(12 Inc.),,558,0,0
32100167,Teste de Oclusao Carotidea ou Vertebral,,800,0,0
32110022,Radioscopia Para Acompanhamento de Procedimento,,198,0,0
32120010,Angiografias Por Cateter (12 Incidencias),,"1,092",0,0
32120028,Aortografia Abdominal Trans-Lombar (5 Chapas),,547,0,0
32120036,Arteriografia do Membro Superior (5 Chapas),,502,0,0
32120044,Arteriografia Membro Inf.Unilateral (5 Inc.),,502,0,0
32120052,Flebografia de Membro-Unilateral (10 Chapas),,502,0,0
32120060,Esplenoportografia (10 Incidencias),,547,0,0
32120079,Linfoangioadenografia (8 Incidencias),,743,0,0
32120087,Portografia Trans-Hepatica (10 Incidencias),,818,0,0
32120095,Flebografia Retrograda Cateterismo (10 Chapas),,"1,292",0,0
32120109,Cavernosografia (5 Incidencias),,490,0,0
32120117,Farmaco-Cavernosografia Dinamica(5 Incidencias),,550,0,0
32120125,Cavernosometria (5 Incidencias),,490,0,0
32120133,Angiografia Digital Arterial (12 Incidencias),,"1,092",0,0
32120141,Angiografia Digital Via Venosa (12 Incidencias),,"1,506",0,0
32130015,Rx-Embolizacao Arterial de Hemorragia Digestiva,,982,0,0
32130023,Rx-Embolizacao Ou Esclerose Varizes Esofagianas,,"1,561",0,0
32130031,Rx P/ Quimioterapia Intra-Arterial Regional,,982,0,0
32130040,"Biopsia Percutania Por Tomografia,U.S ou Rx",,401,0,0
32130058,Rx P/ Embolizacao de Tumor do Ap. Digestivo,,982,0,0
32130066,Rx P/ Embolizacao de Fistulas/Mal-Formacoes AV,,"1,159",0,0
32130074,Rx P/ Drenagem de Colecoes Viscerais/Cavitarias,,714,0,0
32130082,Rx P/ Drenagem Biliar Percutanea Externa,,803,0,0
32130090,Rx P/Drenagem Biliar Percutanea Interna/Externa,,982,0,0
32130104,Rx Para Colocacao De Protese Biliar,,"1,159",0,0
32130112,Rx P/ Retirada Percutanea de Calculos Biliares,,982,0,0
32130120,Rx P/ Esplenectomia Por Embolizacao Percutanea,,982,0,0
32130139,Rx P/ Tratamento Isquemia P/Inf. Intra-Arterial,,803,0,0
32130147,Rx P/ Tratamento Hematuria/Sangramento Genital,,982,0,0
32130155,"Rx P/ Embolizacao Tumores Rins, Adrenal, Bexiga",,982,0,0
32130163,Rx P/ Quimioterapia Arterial Regional P/Cateter,,580,0,0
32130171,Pielografia Anterograda Percutanea,,401,0,0
32130180,Rx P/ Nefrostomia Percutanea,,847,0,0
32130198,Rx P/Colocacao De Protese Pielo-Uretero-Vesical,,"1,382",0,0
32130201,Rx P/ Nefrectomia P/ Embolizacao Unilateral,,982,0,0
32130210,Rx P/ Nefrectomia P/ Embolizacao Bilateral,,"1,382",0,0
32130228,Rx P/ Tratamento da Varicocele Por Embolizacao,,580,0,0
32130236,Rx P/ Puncao de Cisto Renal,,401,0,0
32130244,Rx P/ Drenagem Colecoes Aparelho Uro-Genital,,714,0,0
32130260,Rx P/ Angioplastia Transluminal (Por Vaso),,982,0,0
32130279,Rx P/ Retirada de Corpo Estranho Intra-Vascular,,"1,561",0,0
32130287,Rx P/ Infusao IntraVascular Enzima Trombolitica,,982,0,0
32130295,Rx P/ Embolizacao Fistulas/Malformacao Vascular,,"1,159",0,0
32130309,Rx P/ Embolizacao Malformacao Vascular Central,,"1,962",0,0
32130317,Rx P/ Tratamento da Epistaxe Por Embolizacao,,"1,382",0,0
32130325,Rx P/ Embolizacao de Tumores da Cabeca/Pescoco,,"1,382",0,0
32130333,Rx P/ Tratamento da Fistula Carotida-Cavernosa,,"1,962",0,0
32130341,Rx P/ Embolizacao de Tumores Osseos/Musculares,,982,0,0
32130350,Rx P/ Drenagem Colecoes Musculo-Esqueleticas,,714,0,0
32130368,Rx P/ Tratamento da Hemoptise Por Embolizacao,,982,0,0
32130376,Rx P/ Drenagem Percutanea de Colecoes No Torax,,714,0,0
32130384,Rx P/ Puncao Percutanea de Orgaos ou Cavidades,,714,0,0
32130392,Rx P/ Puncao de Colecoes Superficiais,,240,0,0
32130406,Rx P/ Embolizacao Tratamento Impotencia Sexual,,960,0,0
32130414,Rx P/ Dilatacao Percutanea Estenoses Digestivas,,982,0,0
32130422,Rx Para Quimioembolizacao Arterial,,700,0,0
32130430,Rx Para Aterectomia Percutanea,,"1,200",0,0
32130449,Rx P/Colocacao Percut.De Filtro De Veia Cava,,"1,200",0,0
32130457,Rx Para Colocacao Percut. De Protese Vascular,,"1,200",0,0
32130465,Rx P/Coloc.Transcateter De Protese Esofagica,,"1,000",0,0
32130473,Rx P/Coloc.De Transcateter De Protese Bronquica,,"1,000",0,0
32130481,Rx P/Embolizacao Percut.De Angiomas Cerebrais,,"1,200",0,0
32130490,Rx P/Embolizacao Percut. De Aneurisma Cerebral,,"1,250",0,0
33010013,Ultrassonografia Abdomen Superior,,220,0,0
33010021,Ultrassonografia Abdomen Total,,335,0,0
33010030,Ultrassinografia Aparelho Urinario,,220,0,0
33010048,Ultrassonografia de Articulacoes,,180,0,0
33010056,Ultrassonografia Craniana,,180,0,0
33010064,Ecocardiografia Bi-Dimensional,,220,0,0
33010072,Ecocardiografia Uni-Dimensional,,150,0,0
33010080,Ultrassonografia Endoscopica e Trans-Operatoria,,300,0,0
33010099,Ultrassonografia do Globo Ocular,,185,0,0
33010102,Ultrassonografia do Hipocondrio Direito,,205,0,0
33010110,Ultrassonografia Obstetrica,,140,0,0
33010129,Ultrassonografia Orgaos/Estruturas Superfiais,,180,0,0
33010137,Ultrassonografia Pelvica (Ginecologica),,105,0,0
33010145,Ultrassonografia Pelvica Transvaginal,,200,0,0
33010153,Ultrassonografia da Prostata Via Abdominal,,150,0,0
33010161,Ultrassonografia da Prostata Via Trans-Retal,,300,0,0
33010170,"Ultrassonografia Retroperitonio, Grandes Vasos",,250,0,0
33010188,Ultrassonografia do Torax (Extra-Cardiaco),,110,0,0
33010196,Ultrassonografia Pelvica P/Controle De Ovulacao,,400,0,0
33010200,Ultrassonografia Transvag.Controle De Ovulacao,,500,0,0
33010218,Estudo De 1 Vaso Com Doppler Pulsado,,380,0,0
33010226,Estudo de 2 Vasos Com Doppler Convencional,,450,0,0
33010234,Estudo De 3 ou + Vasos Com Doppler Convencional,,600,0,0
34010017,Tomografia Computadorizada do Abdomen Superior,,905,0,0
34010025,Tomografia Computadorizada das Articulacoes,,905,0,0
34010033,Tomografia Computadorizada Coluna (3 Segmentos),,755,0,0
34010041,Tomografia Computadorizada Coluna (P/ Segmento),,156,0,0
34010050,Tomomielografia (Ate 3 Segmentos),,72,0,0
34010068,Tomografia Computadorizada de Cranio Ou Orbitas,,755,0,0
34010076,Tomografia Computadorizada Dinamica,,950,0,0
34010084,"Tomografia Computadorizada Face, Seios da Face",,755,0,0
34010092,Tomografia Computadorizada Mastoides ou Ouvidos,,905,0,0
34010106,Tomografia Computadorizada da Pelve ou Bacia,,905,0,0
34010114,Tomografia Computadorizada do Pescoco,,905,0,0
34010122,Tomografia Computadorizada de Membros,,905,0,0
34010130,Tomografia Computadorizada do Torax,,905,0,0
35010010,Radioterapia - Megavoltagem (Acel. Linear etc),,80,0,0
35010029,Radioterapia - Betaterapia P/ Aplicacao,,25,0,0
35010037,Radioterapia - Cesioterapia P/ Aplicacao,,35,0,0
35010045,Radioterapia -Cheque -Filme (Filme A Parte),,15,0,0
35010053,Radioterapia - Cobaltoterapia P/ Aplicacao,,50,0,0
35010070,Roentgenterapia Ate 400 Kv P/ Aplicacao,,25,0,0
35010088,Radioterapia - Mascara Ou Blocos de Colimacao,,250,0,0
35010096,Radioterapia - Irradiacao Com Campos Alargados,,960,0,0
35020016,Radioterapia - Moldagem Em Utero,,600,0,0
35020024,Radioterapia - Moldagem Ou Implante Em Pele,,370,0,0
35020032,Radioterapia - Moldagem Ou Implante Em Mucosa,,520,0,0
35020040,Radioimplante Ou Radiomoldagem C/ Fios Iridium,,"3,200",0,0
35020059,Radioimplante Ou Radiomoldagem C/ Fios Iridium,,"4,300",0,0
35020067,Radioimplante C/ Iodo 125 ou Ouro 198 (P/Trat.),,"3,200",0,0
35020075,Radioimplante Oftalmologico C/ Placa de Cobalto,,"3,200",0,0
36010014,Ressonancia Magnetica De Craneo,,"1,800",0,0
36010022,Ressonancia Magnetica de Coluna Cervical,,"1,830",0,0
36010030,Ressonancia Magnetica de Coluna Toracica,,"1,830",0,0
36010049,Ressonancia Magnetica De Coluna Lombo-Sacra,,"1,830",0,0
36010057,Ressonancia Magnetica De Pescoco,,"1,800",0,0
36010065,Ressonancia Magnetica Plexo Braquial(Unilat.),,"1,830",0,0
36010073,Ressonancia Magnetica De Torax,,"1,860",0,0
36010081,Ressonancia Magnetica De Coracao/Aorta C/Cine,,"2,200",0,0
36010090,Ressonacia Magnetica De Abdome Superior,,"1,860",0,0
36010103,Ressonancia Magnetica De Bacia Ou Pelvis,,"1,860",0,0
36010111,Ressonancia Magnetica de ATM (Bilateral),,"1,800",0,0
36010120,Ressonancia Magnetica de Ombro (Unilateral),,"1,830",0,0
36010138,Ressonancia Magnetica De Cotovelo/Punho(Unil.),,"1,830",0,0
36010146,Ressonancia Magnetica de Coxo-Femural(Bilat.),,"1,830",0,0
36010154,Ressonancia Magnetica De Joelho (Unilateral),,"1,830",0,0
36010162,Ressonancia Magnetica De Tornozelo/Pe (Unilat.),,"1,830",0,0
36010170,Ressonancia Magnetica De Segmento Apendicular,,"1,830",0,0
36010189,Angiografia por Ressonancia Magnetica,,"1,800",0,0
39010015,Investigacao Ultrassonica Sem Registro Grafico,,60,0,0
39010023,Investigacao Ultrassonica Com Registro Grafico,,120,0,0
39010040,Oscilometria,,40,0,0
39010058,Plestimografia Por Lateralidade Ou Territorio,,160,0,1
39010074,Termometria Cutanea,,50,0,0
39010082,Teste De Erecao Peniana,,80,0,0
39010090,Cavernosometria,,120,0,0
39010104,Pletismografia Peniana Noturna,,440,0,0
